States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
DEFAULTS TO FLSA?,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Notes,,,,,,,,,,,,,,,,"Amendments to Iowa's child labor laws were signed by Governor Reynolds in May 2023. Changes relating to agricultural work include: 14-15 year olds can work 6 hours per day during the school week and work permits are no longer required. Children under 14 are now prohibited from doing any type of work, including migrant children who could previously work with a permit from the age of 12.",,,,,,,,,,,,,,,"In 2022, Governor Murphy signed amendments to New Jersey's child labor laws. School authority was withdrawn from the work permit registration process, and for children in agriculture the law was improved to require a work permit for all minors below 18 years. All minors must register for work on a state database, which requires parental consent.",,,,,,,"In January 2023, Oregon introduced a new law which states that agricultural employers must pay overtime after 55 hours are worked in a week. However, this law does not apply to migrant hand harvest workers 16 or younger who are paid the same piece rate as workers over 16.",,,,,,,,,,,,,
Is agricultural child labor exempt from state labor laws?,Yes,,,,,,,Yes (see note),,,Yes,,Yes (see note),,,,Yes,Yes (see note),Yes,,Yes,,,,Yes,,,Yes,,,,,,Yes,,,Yes,,Yes (see note),Yes (see note),,,Yes,Yes (see note),,,,,Yes (see note),,Yes
"Minimum age standards 
OUTSIDE of school hours",Consistent,Better,Better,Better,Better and worse,Worse,Better,Consistent,Better,Worse,Consistent,Better and worse,Consistent,Worse,Worse,Better,Consistent,Consistent,Consistent,Consistent,Consistent,Better and worse,Better and worse,Worse,Consistent,Better,Better and worse,Consistent,Worse,Worse,Better,Better,Better,Consistent,Worse,Better,Consistent,Worse,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Worse,Consistent,Consistent,Better,Consistent,Worse,Consistent
Minimum age to work with parental consent (12),12,14,14,14,12,12,14,12,14,"No minimum age to herd, tend, or manage livestock, otherwise 14",12,"10 for coffee harvest if there are insufficient adult workers, 15 for pineapple harvest, otherwise 14",12,10,12,14,12,12,12,12,12,No minimum age,"13 for cornseed production, 14 for agricultural processing",No minimum age,12,14,14,12,No minimum age,12,12,14,12,12,No minimum age,14,12,9 for harvest of berries and beans; 12 in vacations,12,12,12,No minimum age,12,12,No minimum age,12,12,12 in vacations; otherwise 14,12,12,12
Minimum age to work without parental consent (14),14,17,14,14,18,12,16*,14,18,"No minimum age to herd, tend, or manage livestock, otherwise 14",14,16,14,10,12,14,14,14,14,14,14,18,"13 for cornseed production, 14 for agricultural processing",12,14,16,14,14,No minimum age,12,18,16,16,14,14,14,14,14,14,14,14,No minimum age,14,14,12,14,14,18,14,12,14
Minimum age to work with parents (12),12,14,14,14,12,12,14,12,14,"No minimum age to herd, tend, or manage livestock, otherwise 14",12,"10 for coffee harvest if there are insufficient adult workers, 15 for pineapple harvest, otherwise 14",12,10,12,14,12,12,12,12,12,No minimum age,"13 for cornseed production, 14 for agricultural processing",No minimum age,12,14,No minimum age,12,No minimum age,12,12,14,12,12,No minimum age,14,12,9 for harvest of berries and beans; 12 in vacations,12,12,12,No minimum age,12,12,No minimum age,12,12,12 in vacations; otherwise 14,12,12,12
Are any farms exempt from state law?,YES,NO (14),NO (14),NO (14),NO (12),NO (12),YES**,YES,NO (14),"NO (No minimum age to  herd, tend, or manage livestock, otherwise 14)",YES,"NO (10 for coffee harvest if there are insufficient adult workers, 15 for pineapple harvest, otherwise 14)",YES,NO (10),NO (12),NO,YES,YES,YES,NO (12),YES,NO (0),"NO (13 for cornseed production, 14 for agricultural processing)",YES,YES,NO (14),NO (14),YES (except for detasseling),NO (0),NO (12),NO (12),NO (14),NO*,YES,NO (0),YES,YES,YES (partial),YES,YES,No,NO (0),YES,YES,NO (0 with consent),NO (12),NO (12),"NO (12 in vacations, otherwise 14)",YES,NO (12),YES
Minimum age standards DURING school hours,Consistent,Consistent,Consistent,Better,Better,Better,Consistent,Consistent,Consistent,Better,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Better,Consistent,Consistent,Consistent,Better,Consistent,Better and worse,Better,Better,Better,Better,Consistent,Worse ,Consistent,Consistent,Better,Consistent,Consistent,Consistent,Better and worse,Consistent,Better,Better,Worse,Consistent,Better,Consistent,Better,Consistent
Minimum age to work during school hours (16),16,16,16,16,16,16,16,16,16,16,16,16,16,12,16,16,16,16,16,16,16,16,18 in agricultural processing,16,16,16,16,16,14,16,16,16,16,16,14,16,16,16,16,16,16,14,16,16,16,14 with work permit; otherwise 16,16,18,16,18,16
Minimum age to work during school hours on a farm owned by the child's family (0),No minimum age,No minimum age,No minimum age,16,16,16,0,No minimum age,No minimum age,14,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,No minimum age,16,No minimum age,14,16,16,16,16,No minimum age,No minimum age,No minimum age,No minimum age,16,"No minimum age to  herd, tend, or manage livestock, otherwise 14","No minimum age to  herd, tend, or manage livestock, otherwise 14","No minimum age to  herd, tend, or manage livestock, otherwise 14",14,"No minimum age to  herd, tend, or manage livestock, otherwise 14","No minimum age to  herd, tend, or manage livestock, otherwise 14",16,"No minimum age to  herd, tend, or manage livestock, otherwise 14","No minimum age to  herd, tend, or manage livestock, otherwise 14","No minimum age to  herd, tend, or manage livestock, otherwise 14",No minimum age,18,No minimum age
Minimum age standards to do hazardous agricultural work,Consistent,Better,Consistent,Better and worse,Consistent,Better,Better and worse,Worse,Better,Better,Consistent,Better,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Better,Consistent,Worse,Consistent,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Better,Consistent,Consistent,Better,Consistent,Worse,Consistent,Consistent,Worse,Consistent,Consistent,Consistent,Worse,Consistent,Consistent,Worse,Better,Better,Better,Worse,Consistent,Consistent
"Minimum age for hazardous agriculture work (16, or 14 with certification)",16,18,16,14,14 with certification,16,14***,No minimum age if supervised by an adult; otherwise 16,16,14 with certification; 18 for higher-powered tractors and other power-driven machinery,16,16,16,16,16,16,16,16,16,16,16,"No minimum age to  herd, tend, or manage livestock, otherwise 14",16,16,16,16,14 year olds can drive higher-powered tractors; no minimum age with certification.,16,16,18,16,16,16,16,"No minimum age to  herd, tend, or manage livestock, otherwise 14",16,16,"No minimum age for most hazardous occupations; 14 with certification for power-driven machinery; 16 for feed mills, flour mills, grain warehouses",16,16,16,"No minimum age with certification in the use of machinery, otherwise 16",16,16,No minimum age with consent,16,16,16-18,14*,16,16
